,Intolerance,wealth_intolerance,Avg pct similar neighbors
0,0.25,0.25,0.0
1,0.25,0.25,0.0
2,0.25,0.25,52.7
3,0.25,0.25,56.5
4,0.25,0.25,57.4
5,0.25,0.25,57.5
6,0.25,0.25,58.1
7,0.25,0.25,58.1
8,0.25,0.25,58.5
9,0.25,0.25,58.5
10,0.25,0.25,58.5
11,0.25,0.25,58.7
12,0.25,0.25,58.8
13,0.25,0.25,58.8
14,0.25,0.25,58.8
15,0.25,0.25,58.8
16,0.25,0.25,58.8
17,0.25,0.25,58.8
18,0.25,0.25,58.8
19,0.25,0.25,58.8
20,0.25,0.25,58.8
21,0.25,0.25,58.8
22,0.25,0.25,58.8
23,0.25,0.25,58.8
24,0.25,0.25,58.8
25,0.25,0.25,58.8
26,0.25,0.25,58.8
27,0.25,0.25,58.8
28,0.25,0.25,58.8
29,0.25,0.25,58.8
30,0.25,0.25,58.8
31,0.25,0.25,58.8
32,0.25,0.25,58.8
33,0.25,0.25,58.8
34,0.25,0.25,58.8
35,0.25,0.25,58.8
36,0.25,0.25,58.8
37,0.25,0.25,58.8
38,0.25,0.25,58.8
39,0.25,0.25,58.8
40,0.25,0.25,58.8
41,0.25,0.25,58.8
42,0.25,0.25,58.8
43,0.25,0.25,58.8
44,0.25,0.25,58.8
45,0.25,0.25,58.8
46,0.25,0.25,58.8
47,0.25,0.25,58.8
48,0.25,0.25,58.8
49,0.25,0.25,58.8
50,0.25,0.25,58.8
51,0.25,0.5,0.0
52,0.25,0.5,0.0
53,0.25,0.5,52.9
54,0.25,0.5,56.5
55,0.25,0.5,57.5
56,0.25,0.5,58.5
57,0.25,0.5,58.9
58,0.25,0.5,58.9
59,0.25,0.5,58.9
60,0.25,0.5,58.9
61,0.25,0.5,58.9
62,0.25,0.5,58.9
63,0.25,0.5,58.9
64,0.25,0.5,58.9
65,0.25,0.5,58.9
66,0.25,0.5,58.9
67,0.25,0.5,58.9
68,0.25,0.5,58.9
69,0.25,0.5,58.9
70,0.25,0.5,58.9
71,0.25,0.5,58.9
72,0.25,0.5,58.9
73,0.25,0.5,58.9
74,0.25,0.5,58.9
75,0.25,0.5,58.9
76,0.25,0.5,58.9
77,0.25,0.5,58.9
78,0.25,0.5,58.9
79,0.25,0.5,58.9
80,0.25,0.5,58.9
81,0.25,0.5,58.9
82,0.25,0.5,58.9
83,0.25,0.5,58.9
84,0.25,0.5,58.9
85,0.25,0.5,58.9
86,0.25,0.5,58.9
87,0.25,0.5,58.9
88,0.25,0.5,58.9
89,0.25,0.5,58.9
90,0.25,0.5,58.9
91,0.25,0.5,58.9
92,0.25,0.5,58.9
93,0.25,0.5,58.9
94,0.25,0.5,58.9
95,0.25,0.5,58.9
96,0.25,0.5,58.9
97,0.25,0.5,58.9
98,0.25,0.5,58.9
99,0.25,0.5,58.9
100,0.25,0.5,58.9
101,0.25,0.5,58.9
102,0.25,0.75,0.0
103,0.25,0.75,0.0
104,0.25,0.75,53.0
105,0.25,0.75,56.5
106,0.25,0.75,56.9
107,0.25,0.75,56.9
108,0.25,0.75,56.9
109,0.25,0.75,57.1
110,0.25,0.75,57.3
111,0.25,0.75,57.3
112,0.25,0.75,57.3
113,0.25,0.75,57.3
114,0.25,0.75,57.3
115,0.25,0.75,57.3
116,0.25,0.75,57.3
117,0.25,0.75,57.3
118,0.25,0.75,57.3
119,0.25,0.75,57.3
120,0.25,0.75,57.3
121,0.25,0.75,57.3
122,0.25,0.75,57.3
123,0.25,0.75,57.3
124,0.25,0.75,57.3
125,0.25,0.75,57.3
126,0.25,0.75,57.3
127,0.25,0.75,57.3
128,0.25,0.75,57.3
129,0.25,0.75,57.3
130,0.25,0.75,57.3
131,0.25,0.75,57.3
132,0.25,0.75,57.3
133,0.25,0.75,57.3
134,0.25,0.75,57.3
135,0.25,0.75,57.3
136,0.25,0.75,57.3
137,0.25,0.75,57.3
138,0.25,0.75,57.3
139,0.25,0.75,57.3
140,0.25,0.75,57.3
141,0.25,0.75,57.3
142,0.25,0.75,57.3
143,0.25,0.75,57.3
144,0.25,0.75,57.3
145,0.25,0.75,57.3
146,0.25,0.75,57.3
147,0.25,0.75,57.3
148,0.25,0.75,57.3
149,0.25,0.75,57.3
150,0.25,0.75,57.3
151,0.25,0.75,57.3
152,0.25,0.75,57.3
153,0.5,0.25,0.0
154,0.5,0.25,0.0
155,0.5,0.25,54.4
156,0.5,0.25,67.8
157,0.5,0.25,75.6
158,0.5,0.25,81.2
159,0.5,0.25,84.2
160,0.5,0.25,85.5
161,0.5,0.25,86.7
162,0.5,0.25,88.3
163,0.5,0.25,89.6
164,0.5,0.25,89.6
165,0.5,0.25,90.4
166,0.5,0.25,90.0
167,0.5,0.25,90.8
168,0.5,0.25,90.9
169,0.5,0.25,90.7
170,0.5,0.25,89.9
171,0.5,0.25,90.4
172,0.5,0.25,90.6
173,0.5,0.25,90.5
174,0.5,0.25,90.4
175,0.5,0.25,90.8
176,0.5,0.25,91.3
177,0.5,0.25,91.0
178,0.5,0.25,91.0
179,0.5,0.25,91.2
180,0.5,0.25,91.2
181,0.5,0.25,91.2
182,0.5,0.25,91.2
183,0.5,0.25,91.2
184,0.5,0.25,91.2
185,0.5,0.25,91.2
186,0.5,0.25,91.2
187,0.5,0.25,91.2
188,0.5,0.25,91.2
189,0.5,0.25,91.2
190,0.5,0.25,91.2
191,0.5,0.25,91.2
192,0.5,0.25,91.2
193,0.5,0.25,91.2
194,0.5,0.25,91.2
195,0.5,0.25,91.2
196,0.5,0.25,91.2
197,0.5,0.25,91.2
198,0.5,0.25,91.2
199,0.5,0.25,91.2
200,0.5,0.25,91.2
201,0.5,0.25,91.2
202,0.5,0.25,91.2
203,0.5,0.25,91.2
204,0.5,0.5,0.0
205,0.5,0.5,0.0
206,0.5,0.5,57.6
207,0.5,0.5,68.5
208,0.5,0.5,76.7
209,0.5,0.5,81.0
210,0.5,0.5,83.1
211,0.5,0.5,85.0
212,0.5,0.5,86.0
213,0.5,0.5,86.9
214,0.5,0.5,88.2
215,0.5,0.5,89.1
216,0.5,0.5,89.3
217,0.5,0.5,89.9
218,0.5,0.5,90.2
219,0.5,0.5,90.6
220,0.5,0.5,91.1
221,0.5,0.5,91.4
222,0.5,0.5,91.3
223,0.5,0.5,91.3
224,0.5,0.5,91.5
225,0.5,0.5,91.0
226,0.5,0.5,91.3
227,0.5,0.5,91.2
228,0.5,0.5,91.1
229,0.5,0.5,91.3
230,0.5,0.5,91.4
231,0.5,0.5,91.5
232,0.5,0.5,91.5
233,0.5,0.5,91.5
234,0.5,0.5,91.5
235,0.5,0.5,91.5
236,0.5,0.5,91.5
237,0.5,0.5,91.5
238,0.5,0.5,91.5
239,0.5,0.5,91.5
240,0.5,0.5,91.5
241,0.5,0.5,91.5
242,0.5,0.5,91.5
243,0.5,0.5,91.5
244,0.5,0.5,91.5
245,0.5,0.5,91.5
246,0.5,0.5,91.5
247,0.5,0.5,91.5
248,0.5,0.5,91.5
249,0.5,0.5,91.5
250,0.5,0.5,91.5
251,0.5,0.5,91.5
252,0.5,0.5,91.5
253,0.5,0.5,91.5
254,0.5,0.5,91.5
255,0.5,0.75,0.0
256,0.5,0.75,0.0
257,0.5,0.75,53.5
258,0.5,0.75,69.3
259,0.5,0.75,76.3
260,0.5,0.75,80.0
261,0.5,0.75,83.4
262,0.5,0.75,85.1
263,0.5,0.75,86.0
264,0.5,0.75,88.9
265,0.5,0.75,89.1
266,0.5,0.75,90.4
267,0.5,0.75,90.4
268,0.5,0.75,91.3
269,0.5,0.75,91.1
270,0.5,0.75,92.0
271,0.5,0.75,91.6
272,0.5,0.75,92.0
273,0.5,0.75,92.1
274,0.5,0.75,92.1
275,0.5,0.75,92.1
276,0.5,0.75,92.1
277,0.5,0.75,92.1
278,0.5,0.75,92.1
279,0.5,0.75,92.1
280,0.5,0.75,92.1
281,0.5,0.75,92.1
282,0.5,0.75,92.1
283,0.5,0.75,92.1
284,0.5,0.75,92.1
285,0.5,0.75,92.1
286,0.5,0.75,92.1
287,0.5,0.75,92.1
288,0.5,0.75,92.1
289,0.5,0.75,92.1
290,0.5,0.75,92.1
291,0.5,0.75,92.1
292,0.5,0.75,92.1
293,0.5,0.75,92.1
294,0.5,0.75,92.1
295,0.5,0.75,92.1
296,0.5,0.75,92.1
297,0.5,0.75,92.1
298,0.5,0.75,92.1
299,0.5,0.75,92.1
300,0.5,0.75,92.1
301,0.5,0.75,92.1
302,0.5,0.75,92.1
303,0.5,0.75,92.1
304,0.5,0.75,92.1
305,0.5,0.75,92.1
306,0.75,0.25,0.0
307,0.75,0.25,0.0
308,0.75,0.25,53.3
309,0.75,0.25,57.3
310,0.75,0.25,57.9
311,0.75,0.25,60.6
312,0.75,0.25,61.1
313,0.75,0.25,63.7
314,0.75,0.25,66.2
315,0.75,0.25,64.9
316,0.75,0.25,64.0
317,0.75,0.25,66.2
318,0.75,0.25,64.8
319,0.75,0.25,66.3
320,0.75,0.25,66.0
321,0.75,0.25,62.5
322,0.75,0.25,68.6
323,0.75,0.25,68.8
324,0.75,0.25,67.4
325,0.75,0.25,65.5
326,0.75,0.25,64.8
327,0.75,0.25,64.6
328,0.75,0.25,63.7
329,0.75,0.25,68.8
330,0.75,0.25,70.7
331,0.75,0.25,70.7
332,0.75,0.25,69.4
333,0.75,0.25,68.2
334,0.75,0.25,69.0
335,0.75,0.25,69.9
336,0.75,0.25,70.7
337,0.75,0.25,71.1
338,0.75,0.25,69.6
339,0.75,0.25,68.9
340,0.75,0.25,67.2
341,0.75,0.25,67.7
342,0.75,0.25,65.1
343,0.75,0.25,65.0
344,0.75,0.25,65.8
345,0.75,0.25,67.2
346,0.75,0.25,69.6
347,0.75,0.25,65.8
348,0.75,0.25,66.0
349,0.75,0.25,67.6
350,0.75,0.25,68.6
351,0.75,0.25,66.7
352,0.75,0.25,66.0
353,0.75,0.25,68.7
354,0.75,0.25,69.2
355,0.75,0.25,68.4
356,0.75,0.25,62.6
357,0.75,0.5,0.0
358,0.75,0.5,0.0
359,0.75,0.5,53.4
360,0.75,0.5,53.3
361,0.75,0.5,56.5
362,0.75,0.5,59.5
363,0.75,0.5,59.5
364,0.75,0.5,58.7
365,0.75,0.5,59.4
366,0.75,0.5,61.7
367,0.75,0.5,62.9
368,0.75,0.5,61.2
369,0.75,0.5,59.2
370,0.75,0.5,58.7
371,0.75,0.5,59.7
372,0.75,0.5,59.7
373,0.75,0.5,60.2
374,0.75,0.5,60.8
375,0.75,0.5,59.7
376,0.75,0.5,64.0
377,0.75,0.5,66.5
378,0.75,0.5,67.1
379,0.75,0.5,65.1
380,0.75,0.5,65.9
381,0.75,0.5,66.2
382,0.75,0.5,66.1
383,0.75,0.5,69.1
384,0.75,0.5,71.7
385,0.75,0.5,66.1
386,0.75,0.5,65.7
387,0.75,0.5,63.9
388,0.75,0.5,64.1
389,0.75,0.5,65.8
390,0.75,0.5,66.7
391,0.75,0.5,67.8
392,0.75,0.5,63.4
393,0.75,0.5,63.7
394,0.75,0.5,63.2
395,0.75,0.5,63.3
396,0.75,0.5,65.7
397,0.75,0.5,67.3
398,0.75,0.5,67.3
399,0.75,0.5,69.8
400,0.75,0.5,66.9
401,0.75,0.5,66.9
402,0.75,0.5,64.8
403,0.75,0.5,64.7
404,0.75,0.5,62.6
405,0.75,0.5,63.1
406,0.75,0.5,63.1
407,0.75,0.5,63.0
408,0.75,0.75,0.0
409,0.75,0.75,0.0
410,0.75,0.75,53.3
411,0.75,0.75,60.2
412,0.75,0.75,64.5
413,0.75,0.75,62.8
414,0.75,0.75,63.4
415,0.75,0.75,65.9
416,0.75,0.75,62.7
417,0.75,0.75,63.6
418,0.75,0.75,65.4
419,0.75,0.75,67.6
420,0.75,0.75,69.9
421,0.75,0.75,66.4
422,0.75,0.75,65.8
423,0.75,0.75,68.2
424,0.75,0.75,67.7
425,0.75,0.75,66.2
426,0.75,0.75,67.7
427,0.75,0.75,68.7
428,0.75,0.75,70.2
429,0.75,0.75,64.9
430,0.75,0.75,63.0
431,0.75,0.75,62.3
432,0.75,0.75,61.5
433,0.75,0.75,60.5
434,0.75,0.75,62.6
435,0.75,0.75,63.2
436,0.75,0.75,62.7
437,0.75,0.75,65.8
438,0.75,0.75,66.2
439,0.75,0.75,62.8
440,0.75,0.75,62.7
441,0.75,0.75,62.0
442,0.75,0.75,60.8
443,0.75,0.75,64.2
444,0.75,0.75,64.1
445,0.75,0.75,65.0
446,0.75,0.75,67.2
447,0.75,0.75,67.8
448,0.75,0.75,66.4
449,0.75,0.75,69.9
450,0.75,0.75,70.5
451,0.75,0.75,68.3
452,0.75,0.75,68.0
453,0.75,0.75,67.1
454,0.75,0.75,66.0
455,0.75,0.75,64.5
456,0.75,0.75,62.3
457,0.75,0.75,62.0
458,0.75,0.75,63.2
